,Fresh,Rotten,General,freq_fresh,freq_rot,freq_total,rel_fresh,rel_rot
absorbing,95.0,4.0,99,0.07224609300733868,0.003041940758203734,0.07528803376554241,0.1166173600284792,0.00799488327470419
absorbingly,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abstract,3.0,1.0,4,0.0022814555686528,0.0007604851895509335,0.003041940758203734,0.003682653474583553,0.0019987208186760474
absurd,12.0,13.0,25,0.0091258222746112,0.009886307464162135,0.019012129738773337,0.014730613898334213,0.025983370642788613
absurdist,3.0,1.0,4,0.0022814555686528,0.0007604851895509335,0.003041940758203734,0.003682653474583553,0.0019987208186760474
absurdity,9.0,7.0,16,0.006844366705958401,0.005323396326856534,0.012167763032814936,0.01104796042375066,0.013991045730732331
absurdly,3.0,2.0,5,0.0022814555686528,0.001520970379101867,0.0038024259477546676,0.003682653474583553,0.003997441637352095
abu,2.0,0.0,2,0.001520970379101867,0.0,0.001520970379101867,0.0024551023163890354,0.0
abundance,6.0,10.0,16,0.0045629111373056,0.007604851895509335,0.012167763032814936,0.007365306949167106,0.019987208186760475
abundant,2.0,1.0,3,0.001520970379101867,0.0007604851895509335,0.0022814555686528,0.0024551023163890354,0.0019987208186760474
abuse,11.0,3.0,14,0.008365337085060268,0.0022814555686528,0.010646792653713068,0.013503062740139696,0.005996162456028142
abused,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
abusive,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
academic,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
academy,1.0,4.0,5,0.0007604851895509335,0.003041940758203734,0.0038024259477546676,0.0012275511581945177,0.00799488327470419
accented,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
accept,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acceptance,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
accepted,2.0,1.0,3,0.001520970379101867,0.0007604851895509335,0.0022814555686528,0.0024551023163890354,0.0019987208186760474
access,4.0,0.0,4,0.003041940758203734,0.0,0.003041940758203734,0.004910204632778071,0.0
accessible,6.0,0.0,6,0.0045629111373056,0.0,0.0045629111373056,0.007365306949167106,0.0
accident,2.0,1.0,3,0.001520970379101867,0.0007604851895509335,0.0022814555686528,0.0024551023163890354,0.0019987208186760474
accidental,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
acclaim,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acclaimed,9.0,1.0,10,0.006844366705958401,0.0007604851895509335,0.007604851895509335,0.01104796042375066,0.0019987208186760474
accompanied,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
accompanying,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
accomplished,6.0,8.0,14,0.0045629111373056,0.006083881516407468,0.010646792653713068,0.007365306949167106,0.01598976654940838
according,1.0,2.0,3,0.0007604851895509335,0.001520970379101867,0.0022814555686528,0.0012275511581945177,0.003997441637352095
account,22.0,4.0,26,0.016730674170120537,0.003041940758203734,0.01977261492832427,0.02700612548027939,0.00799488327470419
accounting,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
accuracy,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
accurately,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
ace,1.0,4.0,5,0.0007604851895509335,0.003041940758203734,0.0038024259477546676,0.0012275511581945177,0.00799488327470419
acerbic,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
achieve,12.0,6.0,18,0.0091258222746112,0.0045629111373056,0.013688733411916803,0.014730613898334213,0.011992324912056283
achieved,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
achievement,17.0,2.0,19,0.01292824822236587,0.001520970379101867,0.014449218601467737,0.020868369689306804,0.003997441637352095
achieves,8.0,4.0,12,0.006083881516407468,0.003041940758203734,0.0091258222746112,0.009820409265556142,0.00799488327470419
achieving,1.0,2.0,3,0.0007604851895509335,0.001520970379101867,0.0022814555686528,0.0012275511581945177,0.003997441637352095
aching,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
achingly,9.0,0.0,9,0.006844366705958401,0.0,0.006844366705958401,0.01104796042375066,0.0
acid,2.0,0.0,2,0.001520970379101867,0.0,0.001520970379101867,0.0024551023163890354,0.0
acidic,2.0,2.0,4,0.001520970379101867,0.001520970379101867,0.003041940758203734,0.0024551023163890354,0.003997441637352095
acidly,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acken,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
ackerman,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acknowledges,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
aclu,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acme,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acquired,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acquits,1.0,1.0,2,0.0007604851895509335,0.0007604851895509335,0.001520970379101867,0.0012275511581945177,0.0019987208186760474
acrassicauda,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acre,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acrobatic,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acrobatics,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acrophobia,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
across,11.0,11.0,22,0.008365337085060268,0.008365337085060268,0.016730674170120537,0.013503062740139696,0.02198592900543652
act,28.0,18.0,46,0.021293585307426137,0.013688733411916803,0.03498231871934294,0.0343714324294465,0.03597697473616885
acted,213.0,55.0,268,0.16198334537434883,0.04182668542530134,0.20381003079965018,0.26146839669543226,0.1099296450271826
acting,55.0,64.0,119,0.04182668542530134,0.048671052131259745,0.09049773755656108,0.06751531370069848,0.12791813239526703
action,207.0,237.0,444,0.15742043423704324,0.18023498992357123,0.33765542416061445,0.25410308974626516,0.4736968340262232
actioner,2.0,3.0,5,0.001520970379101867,0.0022814555686528,0.0038024259477546676,0.0024551023163890354,0.005996162456028142
activist,7.0,0.0,7,0.005323396326856534,0.0,0.005323396326856534,0.008592858107361625,0.0
activity,2.0,5.0,7,0.001520970379101867,0.0038024259477546676,0.005323396326856534,0.0024551023163890354,0.009993604093380237
actor,34.0,35.0,69,0.02585649644473174,0.026616981634282673,0.05247347807901441,0.04173673937861361,0.06995522865366166
actress,7.0,3.0,10,0.005323396326856534,0.0022814555686528,0.007604851895509335,0.008592858107361625,0.005996162456028142
actualization,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
actually,4.0,4.0,8,0.003041940758203734,0.003041940758203734,0.006083881516407468,0.004910204632778071,0.00799488327470419
acute,1.0,0.0,1,0.0007604851895509335,0.0,0.0007604851895509335,0.0012275511581945177,0.0
acutely,2.0,0.0,2,0.001520970379101867,0.0,0.001520970379101867,0.0024551023163890354,0.0
ad,1.0,2.0,3,0.0007604851895509335,0.001520970379101867,0.0022814555686528,0.0012275511581945177,0.003997441637352095
adam,25.0,16.0,41,0.019012129738773337,0.012167763032814936,0.031179892771588277,0.030688778954862942,0.03197953309881676
adaptation,111.0,70.0,181,0.08441385604015361,0.053233963268565346,0.13764781930871897,0.1362581785595915,0.13991045730732332
adapted,3.0,6.0,9,0.0022814555686528,0.0045629111373056,0.006844366705958401,0.003682653474583553,0.011992324912056283
adapting,3.0,2.0,5,0.0022814555686528,0.001520970379101867,0.0038024259477546676,0.003682653474583553,0.003997441637352095
